execution time
2.212
2.312
3.159
2.736
2.190
2.217
3.309
2.465
2.193
2.232
3.378
2.329
2.305
2.563
3.240
2.202
2.211
2.702
3.069
2.198
2.198
2.964
2.885
2.218
2.225
3.103
2.661
2.196
2.231
3.213
