execution time
8.534
8.515
8.604
8.418
9.492
9.101
8.783
9.365
9.021
8.831
8.120
9.055
8.609
8.178
8.374
7.959
8.815
9.514
9.323
8.429
8.686
9.066
8.672
9.032
8.277
8.543
8.846
8.490
8.821
8.864
