execution time
0.309
0.258
0.230
0.264
0.264
0.241
0.263
0.246
0.266
0.254
0.297
0.328
0.395
0.394
0.346
0.347
0.455
0.363
0.342
0.356
0.337
0.359
0.285
0.245
0.247
0.257
0.247
0.256
0.257
0.240
